x,y,z,|U|,acc
-0.226324, 0.0317378, 0.573014, 0.117612, 6.33793
-0.201388, 0.0367067, 0.574147, 0.125343, 0.868215
-0.193428, 0.0424037, 0.550653, 0.147721, 5.81238
-0.213445, 0.0409557, 0.535, 0.149946, 6.66579
-0.233776, 0.0343638, 0.54882, 0.126805, 1.97098
-0.221325, 0.0075985, 0.568855, 0.0851081, 71.7087
-0.196389, 0.0125674, 0.569988, 0.0948803, 132.244
-0.188429, 0.0182643, 0.546493, 0.123046, 352.925
-0.208446, 0.0168164, 0.53084, 0.12625, 357.212
-0.228777, 0.0102245, 0.54466, 0.0979364, 106.443
-0.0556587, 0.0300867, 0.71513, 0.40112, 4.56074
-0.0303791, 0.0327218, 0.716469, 0.404625, 2.72689
-0.021838, 0.0385675, 0.693217, 0.400168, 1.58231
-0.041839, 0.0395451, 0.677507, 0.393816, 1.22489
-0.0627413, 0.0343037, 0.69105, 0.3944, 1.45812
-0.0528546, 0.00577003, 0.710047, 0.398371, 20.0521
-0.027575, 0.00840521, 0.711386, 0.401842, 64.1268
-0.019034, 0.0142509, 0.688134, 0.397357, 119.907
-0.0390349, 0.0152285, 0.672424, 0.39102, 53.7578
-0.0599373, 0.00998705, 0.685967, 0.391642, 13.2312
-0.0213667, 0.0327202, 0.305542, 0.128442, 7.43022
0.00395064, 0.035171, 0.306449, 0.0808409, 5.40773
0.0125155, 0.0372115, 0.282568, 0.118571, 38.1003
-0.00750853, 0.0360218, 0.266902, 0.121413, 58.5133
-0.0284489, 0.033246, 0.281101, 0.0764738, 47.1585
-0.0189167, 0.0078717, 0.304297, 0.128558, 147.504
0.00640062, 0.0103225, 0.305204, 0.079303, 293.428
0.0149654, 0.0123629, 0.281324, 0.117919, 1118.11
-0.00505855, 0.0111732, 0.265658, 0.122148, 934.24
-0.0259989, 0.0083975, 0.279856, 0.0783638, 367.752
0.161765, 0.0325703, 0.449721, 0.107507, 23.5192
0.187168, 0.0337665, 0.450738, 0.124608, 50.029
0.195877, 0.036384, 0.426967, 0.214501, 51.2572
0.175857, 0.0368056, 0.411257, 0.216858, 18.7477
0.154774, 0.0344486, 0.42532, 0.12165, 1.10756
0.163027, 0.00770612, 0.447445, 0.0443435, 711.122
0.18843, 0.00890228, 0.448463, 0.0684989, 1172.02
0.197139, 0.0115198, 0.424691, 0.18861, 1310.2
0.177118, 0.0119414, 0.408982, 0.19514, 734.32
0.156036, 0.00958439, 0.423044, 0.079836, 435.022
-0.233768, 0.134274, 0.573049, 0.289185, 8.57435
-0.238767, 0.158413, 0.577209, 0.331749, 0
-0.243767, 0.182552, 0.581368, 0.374748, 0
-0.248766, 0.206692, 0.585528, 0.418049, 0
-0.253765, 0.230831, 0.589688, 0.461567, 0
-0.258764, 0.25497, 0.593848, 0.505244, 0
